Feature_1,Feature_2,Correlation,Abs_Correlation
num_repeating,num_params,0.1024798269953731,0.1024798269953731
visual_brand_similarity,domain_len,0.10223312844119735,0.10223312844119735
https_flag,sus_words,-0.10215315750842924,0.10215315750842924
leet_speak_score,path_depth,-0.1018903607679671,0.1018903607679671
num_subdirs,sus_words,0.10177336787019266,0.10177336787019266
num_underscores,https_flag,-0.10127009597510514,0.10127009597510514
domain_len,abnormal_subdomain,-0.10084378075492895,0.10084378075492895
num_params,subdomain_parts,0.1005919182308798,0.1005919182308798
tld_len,risky_tld,0.09882896237723669,0.09882896237723669
has_multi_subdomain,domain_len,-0.09864089197426619,0.09864089197426619
num_hyphens,max_vowels,0.09845770564914788,0.09845770564914788
num_letters,subdomain_parts,0.09834793404065832,0.09834793404065832
risky_tld,suspicious_port,0.09813570614980699,0.09813570614980699
ratio_digits,visual_brand_similarity,0.097417855473491,0.097417855473491
num_repeating,max_consonants,0.09687310007754717,0.09687310007754717
num_letters,num_frag,0.09685114865702202,0.09685114865702202
sus_words,has_redirect,0.0964335320560451,0.0964335320560451
url_len,encoding_ratio,0.09637447060434097,0.09637447060434097
num_subdirs,http_no_brand_no_age,0.0954218133490586,0.0954218133490586
ratio_letters,path_depth,-0.0944073476356263,0.0944073476356263
num_underscores,num_qmark,0.0937778804170629,0.0937778804170629
num_at,url_entropy,0.09374872986581727,0.09374872986581727
num_digits,has_multi_subdomain,0.09338345121058214,0.09338345121058214
num_hyphens,visual_brand_similarity,0.09278360684014622,0.09278360684014622
num_amp,num_repeating,0.09260911033881224,0.09260911033881224
url_len,num_repeating,0.0921981160025389,0.0921981160025389
num_letters,ratio_digits,0.09184708149560493,0.09184708149560493
has_multi_subdomain,max_consonants,0.0918411753422384,0.0918411753422384
num_slashes,leet_speak_score,-0.09176271409143162,0.09176271409143162
num_percent,max_digits,0.09136451496904822,0.09136451496904822
num_hyphens,https_flag,-0.09133830908648749,0.09133830908648749
num_percent,visual_brand_similarity,0.0904923626697846,0.0904923626697846
url_entropy,sus_words,0.09011460425933787,0.09011460425933787
num_amp,subdomain_parts,0.08994681355249426,0.08994681355249426
num_qmark,http_no_brand_no_age,0.08894879886131697,0.08894879886131697
leet_speak_score,domain_len,-0.08879616299416775,0.08879616299416775
num_percent,ratio_digits,0.08874475908610747,0.08874475908610747
num_hyphens,label,-0.0883545629937708,0.0883545629937708
num_hyphens,domain_len,0.08782552114067772,0.08782552114067772
has_multi_subdomain,abnormal_subdomain,0.08762097349354823,0.08762097349354823
subdomain_spam_score,abnormal_subdomain,0.08741463195736711,0.08741463195736711
num_special,max_vowels,0.08725188293647468,0.08725188293647468
brand_in_domain,label,0.08722514984145804,0.08722514984145804
suspicious_port,http_no_brand_no_age,0.08664484504039839,0.08664484504039839
max_vowels,domain_len,0.08651602152300505,0.08651602152300505
num_special,num_repeating,0.08639762478805758,0.08639762478805758
has_multi_subdomain,leet_speak_score,0.086316179783579,0.086316179783579
susp_ext,label,0.08568472195933077,0.08568472195933077
num_equal,encoding_ratio,0.08548337312319537,0.08548337312319537
num_special,has_redirect,0.08545658303166088,0.08545658303166088
num_qmark,sus_words,0.08532766811379644,0.08532766811379644
num_slashes,label,0.08482092452502839,0.08482092452502839
num_special,ratio_letters,-0.08435113157910076,0.08435113157910076
risky_tld,leet_in_domain,0.08365348651312406,0.08365348651312406
num_dots,has_redirect,0.08355367733163468,0.08355367733163468
path_len,ratio_letters,-0.08341016263050281,0.08341016263050281
brand_hyphen_suspicious,label,0.08328025707908808,0.08328025707908808
num_repeating,max_digits,0.0832208040746658,0.0832208040746658
url_entropy,shortened,-0.08318414647044535,0.08318414647044535
leet_speak_score,subdomain_spam_score,0.08304643964855102,0.08304643964855102
risky_tld,has_redirect,0.08271856166601287,0.08271856166601287
num_subdirs,leet_speak_score,-0.08217486906886329,0.08217486906886329
num_digits,subdomain_spam_score,0.08159463447714997,0.08159463447714997
brand_in_domain,leet_brand_score,0.08147680909287867,0.08147680909287867
url_len,visual_brand_similarity,0.08103075309531539,0.08103075309531539
num_params,encoding_ratio,0.08102241183861822,0.08102241183861822
num_qmark,num_percent,0.08060167001412634,0.08060167001412634
num_at,label,0.08040831770065562,0.08040831770065562
max_vowels,max_digits,0.07984395711729146,0.07984395711729146
subdomain_spam_score,label,0.07969923853435502,0.07969923853435502
leet_in_domain,label,0.0796054015052951,0.0796054015052951
num_at,num_slashes,0.07927991867846572,0.07927991867846572
ratio_letters,shortened,-0.07910015824382165,0.07910015824382165
risky_tld,domain_len,0.07909289752616036,0.07909289752616036
num_percent,subdomain_spam_score,0.07870846529607702,0.07870846529607702
ratio_letters,subdomain_parts,-0.07864864597290003,0.07864864597290003
risky_tld,max_domain_digits,0.07840867698229285,0.07840867698229285
has_multi_subdomain,label,0.07839561800739418,0.07839561800739418
num_digits,domain_digit_ratio,0.0774064809893608,0.0774064809893608
num_at,num_subdirs,0.07724343140839776,0.07724343140839776
path_dots,tld_len,0.07717595096153983,0.07717595096153983
brand_mismatch,has_redirect,0.07704802290925761,0.07704802290925761
brand_in_domain,has_redirect,0.07696447792498189,0.07696447792498189
num_dots,num_repeating,0.0762681325723626,0.0762681325723626
